event_id,asset,rank,score_raw,score_norm,why_path,when_months,graph_version,created_at
test,LRCX,1,2.39,1.0,Semiconductor_Manufacturing → Semiconductor_Equipment,9,v1.1,2026-01-21T21:58:38.676764+00:00,2026-01-21T21:58:38.676764+00:00
test,ASML,2,2.195,0.91841,Semiconductor_Manufacturing,0,v1.1,2026-01-21T21:58:38.676764+00:00,2026-01-21T21:58:38.676764+00:00
test,AMAT,3,1.895,0.792887,Semiconductor_Manufacturing → Semiconductor_Equipment,9,v1.1,2026-01-21T21:58:38.676764+00:00,2026-01-21T21:58:38.676764+00:00
test,TSM,4,1.5,0.627615,Semiconductor_Manufacturing,0,v1.1,2026-01-21T21:58:38.676764+00:00,2026-01-21T21:58:38.676764+00:00
test,INTC,5,1.5,0.627615,Semiconductor_Manufacturing,0,v1.1,2026-01-21T21:58:38.676764+00:00,2026-01-21T21:58:38.676764+00:00
test,SILICON,6,1.26,0.527197,Semiconductor_Manufacturing → Semiconductor_Materials,4,v1.1,2026-01-21T21:58:38.676764+00:00,2026-01-21T21:58:38.676764+00:00
test,COPPER,7,1.08,0.451883,Semiconductor_Manufacturing → Industrial_Construction → Copper,15,v1.1,2026-01-21T21:58:38.676764+00:00,2026-01-21T21:58:38.676764+00:00
test,SOXX,8,1.078,0.451046,Semiconductor_Manufacturing,0,v1.1,2026-01-21T21:58:38.676764+00:00,2026-01-21T21:58:38.676764+00:00
test,SMH,9,1.078,0.451046,Semiconductor_Manufacturing,0,v1.1,2026-01-21T21:58:38.676764+00:00,2026-01-21T21:58:38.676764+00:00
test,QCOM,10,1.0,0.41841,Advanced_Logic_Chips,0,v1.1,2026-01-21T21:58:38.676764+00:00,2026-01-21T21:58:38.676764+00:00
