event_id,asset,rank,score_raw,score_norm,why_path,when_months,symbol,market_status,reason,price,ma50,ma200,vol_z20,r_1m,r_3m,rs_1m,rs_3m,above_ma50,above_ma200,golden,confirm_rs1m,confirm_rs3m,confirm_trend,confirm_vol,confirm_score,penalty,adj_score
test,LRCX,1,2.39,1.0,Semiconductor_Manufacturing → Semiconductor_Equipment,9,LRCX,ok,mapped,222.41000366210938,172.34113037109375,119.77922485351563,-0.16791059372065092,0.4350884616948558,0.5742786611937931,0.42197200033078996,0.5587776206307948,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.25
test,ASML,2,2.195,0.91841,Semiconductor_Manufacturing,0,ASML,ok,mapped,1326.0699462890625,1105.4965856933593,875.0582275390625,1.4441345632171592,0.30591961617630314,0.290645416270487,0.2928031548122373,0.27514437570748873,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.1480124999999999
test,AMAT,3,1.895,0.792887,Semiconductor_Manufacturing → Semiconductor_Equipment,9,AMAT,ok,mapped,318.2300109863281,261.6059539794922,199.85396461486818,0.423527672502117,0.28179000890131856,0.4171909281121309,0.2686735475372527,0.4016898875491326,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,0.99110875
test,TSM,4,1.5,0.627615,Semiconductor_Manufacturing,0,TSM,ok,mapped,327.1600036621094,299.4860998535156,246.44755439758302,1.1713251313253878,0.1812536602969006,0.11170947495568884,0.16813719893283474,0.09620843439269056,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,0.78451875
test,INTC,5,1.5,0.627615,Semiconductor_Manufacturing,0,INTC,ok,mapped,48.560001373291016,39.24500015258789,28.69899998664856,0.990851622835922,0.34701809711468146,0.3120779134171907,0.3339016357506156,0.29657687285419243,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,0.78451875
test,COPPER,7,1.08,0.451883,Semiconductor_Manufacturing → Industrial_Construction → Copper,15,CPER,ok,mapped,35.709999084472656,33.470600051879885,30.93455002784729,0.7990269002349383,0.07463134445982078,0.158663187477891,0.061514883095754924,0.1431621469148927,1,1,1,1.0,1.0,1.0,1.0,1.0,0.1,0.5535566749999999
test,SOXX,8,1.078,0.451046,Semiconductor_Manufacturing,0,SOXX,ok,mapped,337.3500061035156,304.4016925048828,253.44825675964356,0.6714951281073483,0.18272970272993394,0.17237833733166186,0.16961324136586808,0.15687729676866358,1,1,1,1.0,1.0,1.0,1.0,1.0,0.1,0.55253135
test,SMH,9,1.078,0.451046,Semiconductor_Manufacturing,0,SMH,ok,mapped,390.3900146484375,360.8199237060547,299.1942398071289,0.49577900056842883,0.15435905608273948,0.14227101941011555,0.14124259471867362,0.12676997884711727,1,1,1,1.0,1.0,1.0,1.0,1.0,0.1,0.55253135
test,SILICON,6,1.26,0.527197,Semiconductor_Manufacturing → Semiconductor_Materials,4,,skipped,no_liquid_proxy,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.47447730000000005
test,QCOM,10,1.0,0.41841,Advanced_Logic_Chips,0,QCOM,ok,mapped,154.07000732421875,171.52632476806642,158.63270111083983,0.6699952828001238,-0.10601131137226927,-0.05257106257500066,-0.11912777273633512,-0.06807210313799894,0,0,1,0.0,0.0,0.0,1.0,0.15,0.0,0.43410037500000004
